Design,Dt_mm,De_mm,Lc_mm,Ld_mm,WallThickness_mm,Thrust_N,MassFlow_kg_s,ExitVelocity_m_s,ExitMach,ExitPressure_Pa,NozzleMass_kg,ThrustToMass_N_kg
Baseline,20,60,30,70,3,1304.76986559587,0.592280150650926,2480.18856738181,3.20467097288628,43252.334727246,0.256353960532927,5089.71994379731
Optimized,22,50,30,50,3,1639.06356205835,0.716658982287621,2313.93565456769,2.80880697448099,91526.5512030481,0.187741576978526,8730.42396062234
