Dt_mm,De_mm,Ld_mm,Thrust_N,MassFlow_kg_s,ExitVelocity_m_s,ExitMach,ExitPressure_Pa,NozzleMass_kg,ThrustToMass_N_kg
18,50,50,1074.8533272906,0.47974692202725,2437.77197654679,3.09640608676604,53114.9177902184,0.175677861188741,6118.31974739164
18,50,60,1074.8533272906,0.47974692202725,2437.77197654679,3.09640608676604,53114.9177902184,0.199051310531449,5399.88068614489
18,50,70,1074.8533272906,0.47974692202725,2437.77197654679,3.09640608676604,53114.9177902184,0.222424759874157,4832.43559709238
18,50,80,1074.8533272906,0.47974692202725,2437.77197654679,3.09640608676604,53114.9177902184,0.245798209216865,4372.90951270629
18,50,90,1074.8533272906,0.47974692202725,2437.77197654679,3.09640608676604,53114.9177902184,0.269171658559573,3993.18907882984
18,55,60,1051.68118754494,0.47974692202725,2489.93994900017,3.23036667721053,41194.4887948745,0.210361044084372,4999.41038095973
18,55,70,1051.68118754494,0.47974692202725,2489.93994900017,3.23036667721053,41194.4887948745,0.235619449019234,4463.47358812084
18,55,80,1051.68118754494,0.47974692202725,2489.93994900017,3.23036667721053,41194.4887948745,0.260877853954096,4031.31646325943
18,55,90,1051.68118754494,0.47974692202725,2489.93994900017,3.23036667721053,41194.4887948745,0.286136258888958,3675.45585319569
18,60,60,1021.92885118057,0.47974692202725,2534.42509873236,3.35173118597822,32727.8794268934,0.221670777637296,4610.11984562383
18,60,70,1021.92885118057,0.47974692202725,2534.42509873236,3.35173118597822,32727.8794268934,0.248814138164312,4107.19768064669
18,60,80,1021.92885118057,0.47974692202725,2534.42509873236,3.35173118597822,32727.8794268934,0.275957498691327,3703.2110235339
18,60,90,1021.92885118057,0.47974692202725,2534.42509873236,3.35173118597822,32727.8794268934,0.303100859218343,3371.58018560549
18,65,70,986.157614926616,0.47974692202725,2572.96823367346,3.46283709712988,26523.0128200479,0.262008827309389,3763.83355115791
18,65,80,986.157614926616,0.47974692202725,2572.96823367346,3.46283709712988,26523.0128200479,0.291037143428558,3388.42528245434
18,65,90,986.157614926616,0.47974692202725,2572.96823367346,3.46283709712988,26523.0128200479,0.320065459547728,3081.11227097143
18,70,80,944.771639759245,0.47974692202725,2606.79937582665,3.5654101826696,21856.0559794859,0.30611678816579,3086.31109525286
18,70,90,944.771639759245,0.47974692202725,2606.79937582665,3.5654101826696,21856.0559794859,0.337030059877113,2803.22663237732
19,50,50,1207.9534039967,0.534532835962461,2406.40766884172,3.01978086068007,61421.4120556871,0.178693790136187,6759.90700670733
19,50,60,1207.9534039967,0.534532835962461,2406.40766884172,3.01978086068007,61421.4120556871,0.202444230597326,5966.84529083664
19,50,70,1207.9534039967,0.534532835962461,2406.40766884172,3.01978086068007,61421.4120556871,0.226194671058465,5340.32653529879
19,50,80,1207.9534039967,0.534532835962461,2406.40766884172,3.01978086068007,61421.4120556871,0.249945111519604,4832.87469257809
19,50,90,1207.9534039967,0.534532835962461,2406.40766884172,3.01978086068007,61421.4120556871,0.273695551980743,4413.49300437916
19,55,50,1187.67154183305,0.534532835962461,2460.81455848113,3.15452968250524,47569.1871838877,0.188118568096957,6313.42006186717
19,55,60,1187.67154183305,0.534532835962461,2460.81455848113,3.15452968250524,47569.1871838877,0.213753964150249,5556.25504562914
19,55,70,1187.67154183305,0.534532835962461,2460.81455848113,3.15452968250524,47569.1871838877,0.239389360203542,4961.25450530979
19,55,80,1187.67154183305,0.534532835962461,2460.81455848113,3.15452968250524,47569.1871838877,0.265024756256835,4481.36075515181
19,55,90,1187.67154183305,0.534532835962461,2460.81455848113,3.15452968250524,47569.1871838877,0.290660152310128,4086.11752382843
19,60,60,1160.38255194038,0.534532835962461,2507.11686023299,3.27640507125967,37750.1217385029,0.225063697703173,5155.79617584866
19,60,70,1160.38255194038,0.534532835962461,2507.11686023299,3.27640507125967,37750.1217385029,0.252584049348619,4594.04524922634
19,60,80,1160.38255194038,0.534532835962461,2507.11686023299,3.27640507125967,37750.1217385029,0.280104400994066,4142.67875771419
19,60,90,1160.38255194038,0.534532835962461,2507.11686023299,3.27640507125967,37750.1217385029,0.307624752639513,3772.07146688927
19,65,70,1126.74475779957,0.534532835962461,2547.17212708666,3.38783381531852,30565.3126144737,0.265778738493696,4239.40893160006
19,65,80,1126.74475779957,0.534532835962461,2547.17212708666,3.38783381531852,30565.3126144737,0.295184045731297,3817.09233304986
19,65,90,1126.74475779957,0.534532835962461,2547.17212708666,3.38783381531852,30565.3126144737,0.324589352968898,3471.29302761677
19,70,80,1087.2307911329,0.534532835962461,2582.28650931641,3.49059756289065,25168.0890999274,0.310263690468528,3504.21536432791
19,70,90,1087.2307911329,0.534532835962461,2582.28650931641,3.49059756289065,25168.0890999274,0.341553953298283,3183.18901196675
20,50,50,1346.46561507826,0.592280150650926,2375.35316984436,2.9465582781777,70558.9905940196,0.181709719083634,7409.98127050394
20,50,60,1346.46561507826,0.592280150650926,2375.35316984436,2.9465582781777,70558.9905940196,0.205837150663203,6541.41203733132
20,50,70,1346.46561507826,0.592280150650926,2375.35316984436,2.9465582781777,70558.9905940196,0.229964582242773,5855.09995472606
20,50,80,1346.46561507826,0.592280150650926,2375.35316984436,2.9465582781777,70558.9905940196,0.254092013822343,5299.12607178472
20,50,90,1346.46561507826,0.592280150650926,2375.35316984436,2.9465582781777,70558.9905940196,0.278219445401912,4839.58126339146
20,55,50,1329.3584560315,0.592280150650926,2432.04343013192,3.08220145957161,54565.501575473,0.191134497044403,6955.09432670689
20,55,60,1329.3584560315,0.592280150650926,2432.04343013192,3.08220145957161,54565.501575473,0.217146884216126,6121.93198548679
20,55,70,1329.3584560315,0.592280150650926,2432.04343013192,3.08220145957161,54565.501575473,0.24315927138785,5467.027633551
20,55,80,1329.3584560315,0.592280150650926,2432.04343013192,3.08220145957161,54565.501575473,0.269171658559574,4938.70143367002
20,55,90,1329.3584560315,0.592280150650926,2432.04343013192,3.08220145957161,54565.501575473,0.295184045731297,4503.49019622017
20,60,60,1304.76986559587,0.592280150650926,2480.18856738181,3.20467097288628,43252.334727246,0.22845661776905,5711.23690063065
20,60,70,1304.76986559587,0.592280150650926,2480.18856738181,3.20467097288628,43252.334727246,0.256353960532927,5089.71994379731
20,60,80,1304.76986559587,0.592280150650926,2480.18856738181,3.20467097288628,43252.334727246,0.284251303296804,4590.19835780129
20,60,90,1304.76986559587,0.592280150650926,2480.18856738181,3.20467097288628,43252.334727246,0.312148646060682,4179.96323886736
20,65,70,1273.46720002233,0.592280150650926,2521.77070671751,3.31649121825129,34987.7026628459,0.269548649678004,4724.44288459089
20,65,80,1273.46720002233,0.592280150650926,2521.77070671751,3.31649121825129,34987.7026628459,0.299330948034035,4254.37866811396
20,65,90,1273.46720002233,0.592280150650926,2521.77070671751,3.31649121825129,34987.7026628459,0.329113246390067,3869.38907500857
20,70,70,1235.99966026747,0.592280150650926,2558.1763782119,3.41950439337274,28787.3919170221,0.282743338823082,4371.45456869937
20,70,80,1235.99966026747,0.592280150650926,2558.1763782119,3.41950439337274,28787.3919170221,0.314410592771267,3931.16418048504
20,70,90,1235.99966026747,0.592280150650926,2558.1763782119,3.41950439337274,28787.3919170221,0.346077846719452,3571.44981102889
21,50,50,1490.22451262031,0.652988866092646,2344.54789065763,2.87634638753703,80576.7182246044,0.18472564803108,8067.2312074909
21,50,60,1490.22451262031,0.652988866092646,2344.54789065763,2.87634638753703,80576.7182246044,0.20923007072908,7122.42034535233
21,50,70,1490.22451262031,0.652988866092646,2344.54789065763,2.87634638753703,80576.7182246044,0.233734493427081,6375.71498656539
21,50,80,1490.22451262031,0.652988866092646,2344.54789065763,2.87634638753703,80576.7182246044,0.258238916125081,5770.72013382561
21,50,90,1490.22451262031,0.652988866092646,2344.54789065763,2.87634638753703,80576.7182246044,0.282743338823081,5270.59105556072
21,55,50,1476.59235613093,0.652988866092646,2403.57267763084,3.01298998221808,62217.0407017014,0.194150425991849,7605.40363786232
21,55,60,1476.59235613093,0.652988866092646,2403.57267763084,3.01298998221808,62217.0407017014,0.220539804282003,6695.35533931469
21,55,70,1476.59235613093,0.652988866092646,2403.57267763084,3.01298998221808,62217.0407017014,0.246929182572158,5979.82118091465
21,55,80,1476.59235613093,0.652988866092646,2403.57267763084,3.01298998221808,62217.0407017014,0.273318560862312,5402.45913586082
21,55,90,1476.59235613093,0.652988866092646,2403.57267763084,3.01298998221808,62217.0407017014,0.299707939152466,4926.77091006176
21,60,60,1454.95345857531,0.652988866092646,2453.5907606495,3.13613504672028,49258.7017489483,0.231849537834927,6275.42100002464
21,60,70,1454.95345857531,0.652988866092646,2453.5907606495,3.13613504672028,49258.7017489483,0.260123871717235,5593.31002176109
21,60,80,1454.95345857531,0.652988866092646,2453.5907606495,3.13613504672028,49258.7017489483,0.288398205599543,5044.94629413745
